Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,8/26/2016,575.0625,574.5825,576.49625,573.095
BTC,8/29/2016,574.49749,568.78875,575.36375,568.36875
BTC,8/30/2016,571.94125,574.49749,574.68499,571.23375
BTC,8/31/2016,573.78125,571.94125,576.8825,571.36
BTC,9/1/2016,572.96,573.78125,573.845,570.80125
BTC,9/2/2016,570.1,572.96,572.96,568.85749
BTC,9/5/2016,606.0525,596.45375,612.39374,596.01125
BTC,9/6/2016,604.465,606.0525,607.93625,600.43875
BTC,9/7/2016,609.4325,604.465,611.45,604.29499
BTC,9/8/2016,613.67499,609.4325,615.32375,607.25
BTC,9/9/2016,623.6,613.67499,628.74875,613.13375
BTC,9/12/2016,604.8275,622.03375,628.5025,595.42875
BTC,9/13/2016,607.03625,604.8275,607.97625,603.085
BTC,9/14/2016,606.885,607.03625,608.9475,605.16875
BTC,9/15/2016,606.8975,606.885,609.62625,606.7825
BTC,9/16/2016,605.52125,606.8975,608.47125,604.6625
BTC,9/19/2016,609.37249,605.08,609.58624,604.63874
BTC,9/20/2016,606.7175,609.37249,609.73749,606.1675
BTC,9/21/2016,595.93375,606.7175,608.43625,590.86625
BTC,9/22/2016,596.225,595.93375,596.92625,593.39125
BTC,9/23/2016,595.0175,596.225,596.54625,593.74875
BTC,9/26/2016,598.9075,601.36875,601.9775,597.65
BTC,9/27/2016,605.0175,598.9075,607.55125,598.47875
